Autorzy,Tytuł,3-4 zdania opisu zawartości,DOI
"Omid Nejati Manzari, Hamid Ahmadabadi, Hossein Kashiani, S. B. Shokouhi, A. Ayatollahi",MedViT: A Robust Vision Transformer for Generalized Medical Image Classification,,https://doi.org/10.1016/j.compbiomed.2023.106791
"C. Piazzese, Sophie Williams, Gregory Slabaugh, Timothy Farren, Tanya Freeman, and 5 more",BloodImage: Benchmarking vision transformers for blast detection in digital blood films using public and clinical datasets,,https://doi.org/10.1016/j.jpi.2025.100525
"Jiancheng Gu a, Jiabin Yuan a, Jiyuan Cai b, Xianfa Zhou a, Lili Fan c",La-LoRA: Parameter-efficient fine-tuning with layer-wise adaptive low-rank adaptation,,https://doi.org/10.1016/j.neunet.2025.108095
"Annika Reinke, M. Tizabi, M. Baumgartner, Matthias Eisenmann, Doreen Heckmann-Nötzel, and 65 more",Understanding metric-related pitfalls in image analysis validation,,https://doi.org/10.1038/s41592-023-02150-0
"Lena Maier-Hein, Annika Reinke, Patrick Godau, Minu D. Tizabi, Florian Buettner, Evangelia Christodoulou, Ben Glocker, Fabian Isensee, Jens Kleesiek, Michal Kozubek, Mauricio Reyes, Michael A. Riegler, Manuel Wiesenfarth, A. Emre Kavur, Carole H. Sudre, Michael Baumgartner, Matthias Eisenmann, Doreen Heckmann-Nötzel, Tim Rädsch, Laura Acion, Michela Antonelli, Tal Arbel, Spyridon Bakas, Arriel Benis, Matthew B. Blaschko, M. Jorge Cardoso, Veronika Cheplygina, Beth A. Cimini, Gary S. Collins, Keyvan Farahani, Luciana Ferrer, Adrian Galdran, Bram van Ginneken, Robert Haase, Daniel A. Hashimoto, Michael M. Hoffman, Merel Huisman, Pierre Jannin, Charles E. Kahn, Dagmar Kainmueller, Bernhard Kainz, Alexandros Karargyris, Alan Karthikesalingam, Florian Kofler, Annette Kopp-Schneider, Anna Kreshuk, ",Metrics reloaded: recommendations for image analysis validation,,https://doi.org/10.1038/s41592-023-02151-z
"Jiancheng Yang, Rui Shi, D. Wei, Zequan Liu, Lin Zhao, and 3 more",MedMNIST v2 - A large-scale lightweight benchmark for 2D and 3D biomedical image classification,,https://doi.org/10.1038/s41597-022-01721-8
"Arindam Halder, Sanghita Gharami, Priyangshu Sadhu, P. Singh, Marcin Woźniak, and 1 more",Implementing vision transformer for classifying 2D biomedical images,,https://doi.org/10.1038/s41598-024-63094-9
"Jiancheng Yang, R. Shi, Bingbing Ni",MedMNIST Classification Decathlon: A Lightweight AutoML Benchmark for Medical Image Analysis,,https://doi.org/10.1109/ISBI48211.2021.9434062
"Giovanni Lonia, Davide Ciraolo, M. Fazio, Massimo Villari, A. Celesti",Comparing CNNs and ViTs for Medical Image Classification Leveraging Transfer Learning,,https://doi.org/10.1109/ISCC61673.2024.10733732
"Priya Mittal, Bhisham Sharma, D. P. Yadav",Comparative Analysis between CNN and ViT using Brain MRI Dataset,,https://doi.org/10.1109/PDGC64653.2024.10984339
"Chengwei Ye, Jiajun Li, Qifan Shuai","Evaluating the Performance and Clinical Applications of Multiclass Deep Learning Models for Skin Cancer Pathology Diagnosis (ISIC): A Comparative Analysis of CNN, ViT, and VLM",,https://doi.org/10.1145/3731763.3731793
"Ali Alqutayfi 1,*, Wadha Almattar 1,2,*, and Sadam Al-Azani 3, Fakhri Alam Khan 1,3,4, Abdullah Al Qahtani 5, Solaiman Alageel 6, and Mohammed Alzahrani 6",Explainable Disease Classification: Exploring Grad-CAM Analysis of CNNs and ViTs,,https://doi.org/10.12720/jait.16.2.264-273
"Mohamad Abou Ali, F. Dornaika, Ignacio Arganda-Carreras",White Blood Cell Classification: Convolutional Neural Network (CNN) and Vision Transformer (ViT) under Medical Microscope,,https://doi.org/10.3390/a16110525
"J. Maurício, Inês Domingues, Jorge Bernardino",Comparing Vision Transformers and Convolutional Neural Networks for Image Classification: A Literature Review,,https://doi.org/10.3390/app13095521
"Ashish Vaswani, Noam Shazeer, Niki Parmar, Jakob Uszkoreit, Llion Jones, Aidan N. Gomez, Lukasz Kaiser, Illia Polosukhin",Attention Is All You Need,,https://doi.org/10.48550/arXiv.1706.03762
"Alexey Dosovitskiy, Lucas Beyer, Alexander Kolesnikov, Dirk Weissenborn, Xiaohua Zhai, Thomas Unterthiner, Mostafa Dehghani, Matthias Minderer, Georg Heigold, Sylvain Gelly, Jakob Uszkoreit, Neil Houlsby",An Image is Worth 16x16 Words: Transformers for Image Recognition at Scale,,https://doi.org/10.48550/arXiv.2010.11929
"Tal Ridnik, Emanuel Ben-Baruch, Asaf Noy, Lihi Zelnik-Manor",ImageNet-21K Pretraining for the Masses,,https://doi.org/10.48550/arXiv.2104.10972
"Andreas Steiner, Alexander Kolesnikov, Xiaohua Zhai, Ross Wightman, Jakob Uszkoreit, Lucas Beyer","How to train your ViT? Data, Augmentation, and Regularization in Vision Transformers",,https://doi.org/10.48550/arXiv.2106.10270
"Christos Matsoukas, Johan Fredin Haslum, Magnus P Soderberg, Kevin Smith",Pretrained ViTs Yield Versatile Representations For Medical Images,,https://doi.org/10.48550/arXiv.2303.07034
"Yitao Zhu, Zhenrong Shen, Zihao Zhao, Sheng Wang, Xin Wang, Xiangyu Zhao, Dinggang Shen, Qian Wang",MeLo: Low-rank Adaptation is Better than Fine-tuning for Medical Image Diagnosis,,https://doi.org/10.48550/arXiv.2311.08236
"Sebastian Doerrich, Francesco Di Salvo, Julius Brockmann, Christian Ledig",Rethinking model prototyping through the MedMNIST+ dataset collection,,https://doi.org/10.48550/arXiv.2404.15786
"Fuping Wu, Bartlomiej W. Papiez",Rethinking Foundation Models for Medical Image Classification through a Benchmark Study on MedMNIST,,https://doi.org/10.48550/arXiv.2501.14685
"Xinning Chai, Yao Zhang, Yuxuan Zhang, Zhengxue Cheng, Yingsheng Qin, Yucai Yang, Li Song",Distillation-Supervised Convolutional Low-Rank Adaptation for Efficient Image Super-Resolution,,https://doi.org/10.48550/arXiv.2504.11271
Kunal Kawadkar,Comparative Analysis of Vision Transformers and Convolutional Neural Networks for Medical Image Classification ,,https://doi.org/10.48550/arXiv.2507.21156
"Massoud Dehghan, Ramona Woitek, Amirreza Mahbod",Effect of Patch Size on Fine-Tuning Vision Transformers in Two-Dimensional and Three-Dimensional Medical Image Classification,,https://doi.org/10.48550/arXiv.2602.18614
"Eman A. Radhi, M. Mohammed, Fatma Eid, Isabel de la Torre Défez",Efficient Blood Cell Classification Using a Hybrid Variational Quantum Circuit–EfficientNet Model on BloodMNIST ,,https://doi.org/10.65511/jaima.v1i1.734
